Year,County,Value
2018,HUNTINGTON,183
2018,LAGRANGE,142.1
2018,NOBLE,170.7
2018,STEUBEN,150
2018,WELLS,204.1
2018,WHITLEY,180.7
2018,BENTON,201.7
2018,JASPER,164.5
2018,LA PORTE,159
2018,NEWTON,198.9
2018,OTHER (COMBINED) COUNTIES,165.3
2018,PORTER,182.1
2018,PULASKI,169.1
2018,WHITE,196.9
2018,HARRISON,189.2
2018,JACKSON,173.2
2018,LAWRENCE,192.1
2018,MONROE,181.8
2018,ORANGE,206.7
2018,OTHER (COMBINED) COUNTIES,170.3
2018,WASHINGTON,184.1
2018,CLARK,178.7
2018,DEARBORN,176.7
2018,FRANKLIN,185.7
2018,JEFFERSON,185
2018,JENNINGS,181.6
2018,OHIO,180
2018,RIPLEY,182.9
2018,SCOTT,180.2
2018,SWITZERLAND,178
2018,DAVIESS,196.2
2018,DUBOIS,187.1
2018,GIBSON,184
2018,GREENE,179.1
2018,KNOX,179.4
2018,MARTIN,182.9
2018,OTHER (COMBINED) COUNTIES,177.7
2018,POSEY,182.1
2018,SULLIVAN,187.3
2018,VANDERBURGH,179.6
2018,WARRICK,161.2
2018,CLAY,181.5
2018,OTHER (COMBINED) COUNTIES,204.1
2018,OWEN,172.7
2018,PARKE,192.7
2018,PUTNAM,196.8
2018,TIPPECANOE,201.1
2018,VERMILLION,197.5
2018,VIGO,176.4
2018,WARREN,206.4
2017,BOONE,184.4
2017,CLINTON,185.1
2017,DECATUR,190.2
2017,GRANT,169.6
2017,HAMILTON,155.7
2017,HANCOCK,158.1
2017,HENDRICKS,183.3
2017,HOWARD,185.1
2017,JOHNSON,175.4
2017,MADISON,165.4
2017,MORGAN,168.8
2017,OTHER (COMBINED) COUNTIES,167.2
2017,RUSH,185.4
2017,SHELBY,178.7
2017,TIPTON,172.7
2017,BLACKFORD,179.2
2017,DELAWARE,155
2017,FAYETTE,173
2017,HENRY,172.7
2017,JAY,159.3
2017,RANDOLPH,169.6
2017,UNION,181
2017,WAYNE,171.9
2017,CARROLL,181.5
2017,CASS,181.1
2017,ELKHART,173.8
2017,FULTON,200
2017,KOSCIUSKO,171.3
2017,MARSHALL,189.2
2017,MIAMI,171.1
2017,ST. JOSEPH,178
2017,WABASH,174.3
2017,ADAMS,169.8
2017,ALLEN,167.6
2017,DE KALB,170
2017,HUNTINGTON,167.2
2017,LAGRANGE,142.1
2017,NOBLE,175.5
2017,STEUBEN,160
2017,WELLS,185.1
2017,WHITLEY,175
2017,BENTON,199.2
2017,JASPER,183
2017,LA PORTE,154.5
2017,LAKE,196.9
2017,NEWTON,203.9
2017,PORTER,186.2
2017,PULASKI,186.2
2017,STARKE,171.8
2017,WHITE,185.4
2017,HARRISON,162.5
2017,JACKSON,166.7
2017,LAWRENCE,175.6
2017,MONROE,156.4
2017,ORANGE,198.2
2017,OTHER (COMBINED) COUNTIES,167.7
2017,PERRY,179.6
2017,WASHINGTON,172.6
2017,CLARK,158.8
2017,DEARBORN,168.3
2017,FRANKLIN,177.7
2017,JEFFERSON,167.8
2017,JENNINGS,171.4
2017,OHIO,170.8
2017,RIPLEY,185.9
2017,SCOTT,166.9
2017,SWITZERLAND,170.9
2017,DAVIESS,194
2017,DUBOIS,198.1
2017,GIBSON,194.6
2017,GREENE,161.1
2017,KNOX,184.7
2017,OTHER (COMBINED) COUNTIES,186.2
2017,POSEY,190.1
2017,SPENCER,196.3
2017,SULLIVAN,179.9
2017,VANDERBURGH,194
2017,WARRICK,182.4
2017,CLAY,189.6
2017,FOUNTAIN,183.7
2017,MONTGOMERY,200
2017,OWEN,156.1
2017,PARKE,178.6
2017,PUTNAM,180
2017,TIPPECANOE,180.3
2017,VERMILLION,188
2017,VIGO,186.7
2017,WARREN,206
2016,BARTHOLOMEW,171.2
2016,BOONE,180.1
2016,CLINTON,190.6
2016,DECATUR,178.9
2016,HAMILTON,179.5
